molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL4292930,CDK2,1.0,nM,Cc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0,382.211724072,6,2,2.0245200000000003,True
CHEMBL3702060,CDK4,1.0,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccnc(Cl)c5n(C5CCCC5)c4n3)nc2)CC1,9.0,490.23602067200005,7,1,5.417000000000005,True
CHEMBL3698657,CDK4,1.0,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cc3)nc1n2C1CCCCC1,9.0,426.25319496000003,5,2,5.242900000000004,True
CHEMBL6015264,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(CN5CCN(CC6CC6)CC5)cn4)ncc3F)cc21,9.0,535.2871151800001,8,1,4.695200000000004,True
CHEMBL5945809,CDK4,1.0,nM,COc1cc(Nc2ncc(F)c(-c3cc(F)c4c(c3)N(C(C)C)CCO4)n2)ccc1N1CCNCC1,9.0,496.23983064000004,8,2,4.190800000000003,True
CHEMBL3698649,CDK4,1.0,nM,CN(C)C1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,9.0,457.2702419920001,8,1,4.158600000000003,True
CHEMBL1964249,CDK2,1.0,nM,COCCOCCOCCOCCN(C)S(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccc4ncsc4c32)cc1,9.0,576.171241364,10,2,3.0181000000000013,True
CHEMBL509406,CDK2,1.0,nM,Cc1ncc(-c2nc(Nc3ccc(C(=O)NC4CCN(C)CC4)c(F)c3)ncc2F)n1C(C)C,9.0,469.24016498800006,6,2,4.075220000000003,True
CHEMBL1171950,CDK2,1.0,nM,NCCCn1nc(C(N)=O)c2c1-c1nc(Nc3ccccc3)ncc1CC2,9.0,363.180758292,6,3,1.6299999999999992,True
CHEMBL6048798,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)c(F)c4F)ncc3F)cc21,9.0,502.21042233200006,7,2,4.4604000000000035,True
CHEMBL3702122,CDK4,1.0,nM,O=C(O)CN1CCN(Cc2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CC1,9.0,486.2491722000001,8,2,3.4354000000000022,True
CHEMBL559513,CDK2,1.0,nM,CN1CCN(c2cccc(Nc3ncc4c(n3)-c3c(c(C(N)=O)nn3C)CC4)c2)CC1,9.0,418.222957452,7,2,1.5699999999999996,True
CHEMBL5996434,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc5c(c4)CNCC5)ncc3F)cc21,9.0,437.20271686000007,6,2,4.418300000000003,True
CHEMBL3691546,CDK4,1.0,nM,CN(C)C(=O)c1cc2cnc(Nc3ccc(C(=O)N4CC5CC4CN5)cn3)nc2n1C1CCCCCC1,9.0,502.2804723280001,7,2,3.353300000000001,True
CHEMBL557318,CDK1,1.0,nM,C[C@@H]1CNc2c(sc3ccc4occc4c23)C(=O)N1,9.0,272.061948624,4,2,3.191300000000001,True
