molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50
CHEMBL4446626,CDK4,1.04,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C1CCCC1,8.98296666070122
CHEMBL5787921,CDK4,1.06,nM,CN[C@H](C)C(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CC6)c5c4)n3)ccc2C1,8.97469413473523
CHEMBL4462493,CDK4,1.08,nM,CCC(CC)n1c(C)nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc21,8.96657624451305
CHEMBL3694405,CDK9,1.08,nM,COc1ccccc1-c1cc(NC(=O)c2cccc(NS(C)(=O)=O)c2)ncn1,8.96657624451305
CHEMBL5873158,CDK4,1.09,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)(C)C,8.962573502059376
CHEMBL248712,CDK1,1.1,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)c(F)cc5[nH]4)c3c2)c1,8.958607314841775
CHEMBL318999,CDK2,1.1,nM,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC2CCCCC2)c1N=O,8.958607314841775
CHEMBL6023260,CDK4,1.1,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)c(F)c4)ncc3F)cc21,8.958607314841775
CHEMBL3237704,CDK6,1.1,nM,CC1(C)CCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,8.958607314841775
CHEMBL5943325,CDK4,1.1,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCC(O)CC5)cn4)ncc3F)cc21,8.958607314841775
CHEMBL3698644,CDK6,1.1,nM,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,8.958607314841775
CHEMBL5201870,CDK2,1.1,nM,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C)C3)[nH]n2)n(C)n1,8.958607314841775
CHEMBL5938059,CDK6,1.11,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN)C5)ncc3F)cc2n1C(C)(C)C,8.954677021213342
CHEMBL5950426,CDK4,1.12,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)N(C)CCN(C)C)C5)ncc3F)cc2n1C1CC1,8.950781977329818
CHEMBL5774473,CDK4,1.12,nM,C#CCN1CCC(N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)C1,8.950781977329818
CHEMBL4448494,CDK4,1.12,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C,8.950781977329818
CHEMBL5760424,CDK4,1.12,nM,C#CN1CCC(N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)C1,8.950781977329818
